,Disaster_Count,Temperature_Anomaly,CO2_Anomaly,Precipitation_Anomaly,SeaLevel_Anomaly
Disaster_Count,1.0,0.011151221017730223,-0.00970605981228891,0.08863765626874945,-0.02544409682989808
Temperature_Anomaly,0.011151221017730223,1.0,0.6878075216194514,-0.08013654042515225,0.4535937691039287
CO2_Anomaly,-0.00970605981228891,0.6878075216194514,1.0,-0.14078005161571736,0.5407324673436411
Precipitation_Anomaly,0.08863765626874945,-0.08013654042515225,-0.14078005161571736,1.0,0.08088334913968297
SeaLevel_Anomaly,-0.02544409682989808,0.4535937691039287,0.5407324673436411,0.08088334913968297,1.0
